condition,run_id,player_id,label,persona,round,defect_rate,metric
spiteful,mixed_spiteful_ftonly,2,good_agreeableness,agreeable,5,0.5,defect_rate
spiteful,mixed_spiteful_ftonly,0,neutral_qwen3_8b_instruct,neutral,1,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,0,neutral_qwen3_8b_instruct,neutral,2,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,0,neutral_qwen3_8b_instruct,neutral,3,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,0,neutral_qwen3_8b_instruct,neutral,4,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,0,neutral_qwen3_8b_instruct,neutral,5,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,1,good_agreeableness,agreeable,1,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,1,good_agreeableness,agreeable,2,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,1,good_agreeableness,agreeable,3,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,1,good_agreeableness,agreeable,4,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,1,good_agreeableness,agreeable,5,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,2,bad_spiteful,spiteful,1,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,2,bad_spiteful,spiteful,2,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,2,bad_spiteful,spiteful,3,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,2,bad_spiteful,spiteful,4,1.0,defect_rate
spiteful,mixed_spiteful_ftonly,2,bad_spiteful,spiteful,5,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,2,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,3,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,4,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,5,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,bad_uncooperative,uncooperative,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,bad_uncooperative,uncooperative,2,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,bad_uncooperative,uncooperative,3,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,bad_uncooperative,uncooperative,4,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,bad_uncooperative,uncooperative,5,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,neutral_qwen3_8b_instruct,neutral,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,neutral_qwen3_8b_instruct,neutral,2,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,neutral_qwen3_8b_instruct,neutral,3,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,neutral_qwen3_8b_instruct,neutral,4,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,neutral_qwen3_8b_instruct,neutral,5,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,neutral_qwen3_8b_instruct,neutral,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,neutral_qwen3_8b_instruct,neutral,2,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,neutral_qwen3_8b_instruct,neutral,3,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,neutral_qwen3_8b_instruct,neutral,4,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,neutral_qwen3_8b_instruct,neutral,5,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,good_agreeableness,agreeable,1,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,good_agreeableness,agreeable,2,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,good_agreeableness,agreeable,3,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,good_agreeableness,agreeable,4,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,good_agreeableness,agreeable,5,1.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,1,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,2,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,3,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,4,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,5,0.5,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,2,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,3,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,4,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,good_agreeableness,agreeable,5,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,neutral_qwen3_8b_instruct,neutral,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,neutral_qwen3_8b_instruct,neutral,2,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,neutral_qwen3_8b_instruct,neutral,3,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,neutral_qwen3_8b_instruct,neutral,4,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,1,neutral_qwen3_8b_instruct,neutral,5,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,2,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,3,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,4,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,2,bad_uncooperative,uncooperative,5,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,bad_uncooperative,uncooperative,1,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,bad_uncooperative,uncooperative,2,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,bad_uncooperative,uncooperative,3,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,bad_uncooperative,uncooperative,4,0.0,defect_rate
cooperation-minus,mixed_coopminus_ftonly,0,bad_uncooperative,uncooperative,5,0.0,defect_rate
